Horodateur,Quel est ton âge ?,Quel est ton niveau scolaire actuel ?,Quelles sont tes matières préférées à l’école ?,Quelles matières aimes-tu le moins ?,Quel type d’activités préfères-tu en dehors de l’école ?,Préfères-tu travailler seul(e) ou en groupe ?,"Aimes-tu les matières scientifiques (maths, physique, chimie) ?","Préfères-tu les matières littéraires (français, histoire, langues) ?","Es-tu intéressé(e) par les arts (musique, dessin, théâtre) ?",Quel est ton style d’apprentissage préféré ?,Aimes-tu résoudre des problèmes ou des énigmes ?,Te sens-tu à l’aise avec les technologies et l’informatique ?,Aimes-tu travailler avec des chiffres et des données ?,Es-tu attiré(e) par les métiers liés à la santé ou au social ?,Quel est ton niveau en langues étrangères ?,Préfères-tu des métiers créatifs ou techniques ?,Aimes-tu la recherche et l’analyse ?,As-tu déjà une idée du métier que tu aimerais faire plus tard ?,Quel type d’environnement de travail te motive le plus ?,Es-tu prêt(e) à suivre des études longues (plus de 3 ans) ?,Quelle importance accordes-tu à la stabilité de l’emploi dans ton choix de carrière ?,Préfères-tu un métier avec beaucoup de contacts humains ?,Quel rôle voudrais-tu avoir dans une équipe ?,Quelles qualités personnelles te décrivent le mieux ?,Comment gères-tu le stress ou les situations difficiles ?,As-tu déjà participé à des projets ou activités extra-scolaires ?,Quelle place accordes-tu à l’innovation et à la créativité dans ton travail ?,Es-tu intéressé(e) par l’entrepreneuriat ou créer ta propre entreprise ?,Quels sont tes objectifs personnels à court terme (1-2 ans) ?,Comment imagines-tu ta vie professionnelle dans 10 ans ?,Champ convenable
09/07/2025 05:45:52,16-17 ans,Post-bac / Université,Langues étrangères,Français,"Sports, Activités artistiques, Lecture",En groupe,"Oui, beaucoup",Un peu,Oui,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Créatifs,Oui,J’ai quelques idées,Je ne sais pas,Non,Très importante,Oui,Organisateur / planificateur,"Rigoureux(se), Créatif(ve), Curieux(se)",Je préfère éviter ces situations,"Oui, une fois ou deux",Très importante,Pas du tout,Obtenir mon diplôme,Travailler dans un domaine qui me passionne,Arts / Création
09/07/2025 05:50:52,Moins de 14 ans,Seconde,"Arts plastiques / Musique, Mathématiques","Français, Histoire-Géographie",Activités artistiques,Seul(e),"Oui, beaucoup",Pas du tout,Non,Je ne sais pas,"Oui, beaucoup",Oui,Oui,Peut-être,Intermédiaire,Créatifs,Un peu,J’ai quelques idées,Travail manuel,Oui,Peu importante,Non,Créatif / innovateur,"Organisé(e), Dynamique",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Peu importante,Un peu,Trouver un stage,Avoir un poste à responsabilités,Divers
09/07/2025 05:55:52,18 ans et plus,Terminale,"Physique-Chimie, Histoire-Géographie, Arts plastiques / Musique","Langues étrangères, Sciences de la vie et de la Terre","Lecture, Jeux vidéo, Sports",Ça dépend des situations,Un peu,Un peu,Non,"Auditif (écoute, explications orales)",Parfois,Oui,Parfois,Non,Intermédiaire,Je ne sais pas,Non,J’ai quelques idées,Laboratoire / recherche,Non,Moyennement importante,Oui,Leader / chef de projet,"Organisé(e), Curieux(se), Dynamique",Je préfère éviter ces situations,"Oui, plusieurs fois",Moyennement importante,"Oui, beaucoup",Réussir mes examens,Avoir un poste à responsabilités,Divers
09/07/2025 06:00:52,16-17 ans,Terminale,Français,"Histoire-Géographie, Mathématiques",Activités artistiques,Ça dépend des situations,"Oui, beaucoup",Un peu,Un peu,"Auditif (écoute, explications orales)",Parfois,Oui,Non,Non,Avancé,Les deux,Oui,"Oui, clairement",Travail en extérieur,Non,Très importante,Parfois,Exécutant / spécialiste,"Patient(e), Dynamique",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,Pas du tout,Obtenir mon diplôme,Être entrepreneur,Technologie / Technique
09/07/2025 06:05:52,Moins de 14 ans,Première,"Sciences de la vie et de la Terre, Langues étrangères, Histoire-Géographie","Français, Physique-Chimie","Activités artistiques, Bénévolat / Engagement associatif, Lecture",En groupe,"Oui, beaucoup",Un peu,Non,Je ne sais pas,Parfois,Moyennement,Oui,Non,Intermédiaire,Créatifs,Non,"Oui, clairement",Laboratoire / recherche,Non,Très importante,Oui,Organisateur / planificateur,"Organisé(e), Créatif(ve)",Je reste calme et cherche des solutions,"Oui, plusieurs fois",Très importante,Pas du tout,Développer mes compétences,Avoir un poste à responsabilités,Communication / Marketing
09/07/2025 06:10:52,18 ans et plus,Terminale,"Histoire-Géographie, Physique-Chimie, Mathématiques","Langues étrangères, Français","Lecture, Sports",En groupe,Un peu,Un peu,Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Non,Oui,Oui,Intermédiaire,Techniques,Oui,J’ai quelques idées,Bureau / travail sur ordinateur,Peut-être,Peu importante,Oui,Je ne sais pas,Créatif(ve),Je préfère éviter ces situations,"Oui, plusieurs fois",Peu importante,Pas du tout,Trouver un stage,Être entrepreneur,Santé / Social
09/07/2025 06:15:52,Moins de 14 ans,Seconde,Sciences de la vie et de la Terre,,"Bénévolat / Engagement associatif, Lecture",Ça dépend des situations,"Oui, beaucoup",Pas du tout,Oui,Je ne sais pas,Parfois,Oui,Oui,Peut-être,Avancé,Techniques,Un peu,"Oui, clairement",Travail en extérieur,Oui,Peu importante,Parfois,Organisateur / planificateur,"Patient(e), Dynamique, Curieux(se)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Très importante,Pas du tout,Réussir mes examens,Avoir un poste à responsabilités,Informatique / Ingénierie
09/07/2025 06:20:52,18 ans et plus,Terminale,"Français, Histoire-Géographie",,"Sports, Jeux vidéo, Bénévolat / Engagement associatif",Seul(e),"Oui, beaucoup","Oui, beaucoup",Oui,"Auditif (écoute, explications orales)",Non,Moyennement,Oui,Oui,Intermédiaire,Les deux,Non,Pas encore,Travail manuel,Oui,Peu importante,Oui,Leader / chef de projet,Patient(e),Je reste calme et cherche des solutions,"Oui, plusieurs fois",Très importante,Un peu,Trouver un stage,Continuer à apprendre,Informatique / Ingénierie
09/07/2025 06:25:52,16-17 ans,Terminale,"Sciences de la vie et de la Terre, Histoire-Géographie, Mathématiques","Langues étrangères, Arts plastiques / Musique","Bénévolat / Engagement associatif, Activités artistiques",Ça dépend des situations,Un peu,Pas du tout,Non,"Visuel (images, schémas)","Oui, beaucoup",Oui,Non,Non,Intermédiaire,Créatifs,Oui,"Oui, clairement",Bureau / travail sur ordinateur,Non,Très importante,Oui,Organisateur / planificateur,"Créatif(ve), Curieux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Moyennement importante,Un peu,Réussir mes examens,Contribuer à la société,Communication / Marketing
09/07/2025 06:30:52,14-15 ans,Seconde,"Physique-Chimie, Mathématiques, Sciences de la vie et de la Terre",,Sports,En groupe,"Oui, beaucoup",Pas du tout,Non,Je ne sais pas,Parfois,Non,Parfois,Oui,Intermédiaire,Techniques,Un peu,Pas encore,Travail manuel,Oui,Moyennement importante,Parfois,Organisateur / planificateur,"Curieux(se), Organisé(e), Dynamique",Je préfère éviter ces situations,"Oui, plusieurs fois",Peu importante,Pas du tout,Réussir mes examens,Être entrepreneur,Informatique / Ingénierie
09/07/2025 06:35:52,18 ans et plus,Première,Sciences de la vie et de la Terre,"Histoire-Géographie, Mathématiques",Jeux vidéo,Ça dépend des situations,"Oui, beaucoup",Pas du tout,Non,"Visuel (images, schémas)","Oui, beaucoup",Oui,Oui,Non,Débutant,Créatifs,Non,"Oui, clairement",Travail en extérieur,Peut-être,Moyennement importante,Parfois,Je ne sais pas,"Créatif(ve), Dynamique",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Très importante,Un peu,Trouver un stage,Avoir un poste à responsabilités,Divers
09/07/2025 06:40:52,16-17 ans,Post-bac / Université,"Physique-Chimie, Arts plastiques / Musique",,"Activités artistiques, Sorties avec des amis, Sports",En groupe,"Oui, beaucoup",Pas du tout,Non,"Auditif (écoute, explications orales)",Parfois,Oui,Oui,Non,Avancé,Créatifs,Un peu,J’ai quelques idées,Je ne sais pas,Oui,Moyennement importante,Non,Je ne sais pas,"Dynamique, Organisé(e)",Je préfère éviter ces situations,Non,Moyennement importante,"Oui, beaucoup",Trouver un stage,Contribuer à la société,Divers
09/07/2025 06:45:52,16-17 ans,Seconde,"Arts plastiques / Musique, Français, Mathématiques","Sciences de la vie et de la Terre, Physique-Chimie","Sorties avec des amis, Jeux vidéo, Sports",En groupe,"Oui, beaucoup","Oui, beaucoup",Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Moyennement,Parfois,Oui,Intermédiaire,Créatifs,Non,Pas encore,Travail manuel,Oui,Très importante,Oui,Exécutant / spécialiste,"Dynamique, Créatif(ve), Curieux(se)",Je me sens parfois dépassé(e),Non,Moyennement importante,Un peu,Trouver un stage,Être entrepreneur,Lettres / Sciences Humaines
09/07/2025 06:50:52,16-17 ans,Seconde,"Mathématiques, Physique-Chimie","Français, Langues étrangères","Bénévolat / Engagement associatif, Sports",Seul(e),Pas du tout,Pas du tout,Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Oui,Non,Débutant,Techniques,Un peu,J’ai quelques idées,Travail manuel,Non,Très importante,Parfois,Je ne sais pas,Organisé(e),Je préfère éviter ces situations,"Oui, une fois ou deux",Peu importante,Pas du tout,Réussir mes examens,Contribuer à la société,Divers
09/07/2025 06:55:52,Moins de 14 ans,Terminale,"Histoire-Géographie, Sciences de la vie et de la Terre, Physique-Chimie",Mathématiques,"Jeux vidéo, Lecture, Sports",En groupe,Un peu,Pas du tout,Non,"Visuel (images, schémas)",Parfois,Moyennement,Parfois,Peut-être,Avancé,Techniques,Oui,"Oui, clairement",Travail manuel,Non,Moyennement importante,Non,Je ne sais pas,"Organisé(e), Curieux(se)",Je préfère éviter ces situations,Non,Très importante,Pas du tout,Développer mes compétences,Être entrepreneur,Divers
09/07/2025 07:00:52,14-15 ans,Post-bac / Université,"Langues étrangères, Français, Sciences de la vie et de la Terre",Histoire-Géographie,Jeux vidéo,Seul(e),Pas du tout,Un peu,Non,Je ne sais pas,Parfois,Oui,Parfois,Non,Intermédiaire,Techniques,Oui,J’ai quelques idées,Travail en extérieur,Non,Très importante,Oui,Je ne sais pas,"Créatif(ve), Organisé(e)",Je me sens parfois dépassé(e),Non,Peu importante,Pas du tout,Réussir mes examens,Contribuer à la société,Santé / Social
09/07/2025 07:05:52,18 ans et plus,Première,"Physique-Chimie, Français",Arts plastiques / Musique,"Sports, Activités artistiques, Jeux vidéo",En groupe,Un peu,Pas du tout,Un peu,"Visuel (images, schémas)","Oui, beaucoup",Oui,Non,Non,Débutant,Créatifs,Oui,Pas encore,Travail en extérieur,Non,Moyennement importante,Non,Leader / chef de projet,"Rigoureux(se), Patient(e), Organisé(e)",Je préfère éviter ces situations,"Oui, une fois ou deux",Moyennement importante,"Oui, beaucoup",Trouver un stage,Avoir un poste à responsabilités,Divers
09/07/2025 07:10:52,18 ans et plus,Seconde,Histoire-Géographie,"Physique-Chimie, Mathématiques","Sorties avec des amis, Activités artistiques",Ça dépend des situations,"Oui, beaucoup",Pas du tout,Oui,"Kinesthésique (faire, manipuler)",Parfois,Non,Non,Non,Intermédiaire,Créatifs,Non,"Oui, clairement",Laboratoire / recherche,Oui,Très importante,Non,Organisateur / planificateur,Créatif(ve),Je préfère éviter ces situations,Non,Très importante,Pas du tout,Créer un projet personnel,Avoir un poste à responsabilités,Arts / Création
09/07/2025 07:15:52,18 ans et plus,Terminale,"Français, Sciences de la vie et de la Terre",,"Sorties avec des amis, Lecture",Seul(e),Un peu,Pas du tout,Oui,Je ne sais pas,Parfois,Oui,Parfois,Oui,Intermédiaire,Les deux,Un peu,"Oui, clairement",Bureau / travail sur ordinateur,Non,Moyennement importante,Oui,Leader / chef de projet,Organisé(e),Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,"Oui, beaucoup",Développer mes compétences,Être entrepreneur,Arts / Création
09/07/2025 07:20:52,14-15 ans,Seconde,Histoire-Géographie,,Sports,Seul(e),"Oui, beaucoup",Pas du tout,Un peu,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Moyennement,Oui,Non,Courant / bilingue,Techniques,Non,"Oui, clairement",Laboratoire / recherche,Non,Peu importante,Non,Je ne sais pas,"Dynamique, Curieux(se), Patient(e)",Je préfère éviter ces situations,"Oui, plusieurs fois",Très importante,Un peu,Trouver un stage,Contribuer à la société,Technologie / Technique
09/07/2025 07:25:52,14-15 ans,Terminale,"Sciences de la vie et de la Terre, Physique-Chimie, Mathématiques",Histoire-Géographie,"Sorties avec des amis, Sports, Activités artistiques",En groupe,"Oui, beaucoup","Oui, beaucoup",Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Non,Oui,Non,Intermédiaire,Créatifs,Oui,J’ai quelques idées,Bureau / travail sur ordinateur,Non,Très importante,Non,Exécutant / spécialiste,"Dynamique, Curieux(se)",Je me sens parfois dépassé(e),"Oui, une fois ou deux",Très importante,"Oui, beaucoup",Trouver un stage,Continuer à apprendre,Lettres / Sciences Humaines
09/07/2025 07:30:52,18 ans et plus,Seconde,Histoire-Géographie,Physique-Chimie,"Bénévolat / Engagement associatif, Activités artistiques, Jeux vidéo",Ça dépend des situations,"Oui, beaucoup",Pas du tout,Un peu,"Visuel (images, schémas)",Parfois,Oui,Non,Oui,Avancé,Techniques,Un peu,J’ai quelques idées,Laboratoire / recherche,Oui,Très importante,Oui,Créatif / innovateur,Organisé(e),Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,Pas du tout,Trouver un stage,Avoir un poste à responsabilités,Informatique / Ingénierie
09/07/2025 07:35:52,14-15 ans,Terminale,"Langues étrangères, Arts plastiques / Musique",Français,"Sorties avec des amis, Activités artistiques, Sports",Seul(e),Un peu,Un peu,Non,Je ne sais pas,"Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Créatifs,Oui,J’ai quelques idées,Laboratoire / recherche,Oui,Moyennement importante,Parfois,Leader / chef de projet,"Curieux(se), Organisé(e)",Je préfère éviter ces situations,"Oui, une fois ou deux",Très importante,Un peu,Trouver un stage,Travailler dans un domaine qui me passionne,Recherche / Sciences
09/07/2025 07:40:52,14-15 ans,Terminale,"Mathématiques, Français, Arts plastiques / Musique",Langues étrangères,"Jeux vidéo, Activités artistiques",Seul(e),Un peu,Un peu,Un peu,"Visuel (images, schémas)","Oui, beaucoup",Moyennement,Parfois,Oui,Avancé,Les deux,Non,Pas encore,Travail en extérieur,Oui,Peu importante,Oui,Créatif / innovateur,"Patient(e), Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Peu importante,Un peu,Trouver un stage,Continuer à apprendre,Divers
09/07/2025 07:45:52,Moins de 14 ans,Terminale,"Français, Arts plastiques / Musique",,"Lecture, Jeux vidéo, Bénévolat / Engagement associatif",Ça dépend des situations,"Oui, beaucoup","Oui, beaucoup",Non,"Visuel (images, schémas)",Non,Oui,Oui,Peut-être,Avancé,Techniques,Non,"Oui, clairement",Bureau / travail sur ordinateur,Non,Peu importante,Parfois,Je ne sais pas,"Curieux(se), Organisé(e), Rigoureux(se)",Je préfère éviter ces situations,"Oui, plusieurs fois",Moyennement importante,Un peu,Créer un projet personnel,Travailler dans un domaine qui me passionne,Technologie / Technique
09/07/2025 07:50:52,16-17 ans,Seconde,"Français, Histoire-Géographie, Arts plastiques / Musique",,Sorties avec des amis,Ça dépend des situations,"Oui, beaucoup",Pas du tout,Un peu,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Créatifs,Un peu,"Oui, clairement",Travail manuel,Peut-être,Très importante,Non,Exécutant / spécialiste,"Curieux(se), Organisé(e)",Je préfère éviter ces situations,"Oui, plusieurs fois",Peu importante,Un peu,Développer mes compétences,Contribuer à la société,Divers
09/07/2025 07:55:52,18 ans et plus,Post-bac / Université,"Arts plastiques / Musique, Sciences de la vie et de la Terre",,"Sorties avec des amis, Bénévolat / Engagement associatif, Sports",En groupe,"Oui, beaucoup",Pas du tout,Un peu,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Parfois,Peut-être,Intermédiaire,Techniques,Un peu,J’ai quelques idées,Travail manuel,Peut-être,Peu importante,Non,Exécutant / spécialiste,"Créatif(ve), Organisé(e)",Je préfère éviter ces situations,"Oui, une fois ou deux",Moyennement importante,"Oui, beaucoup",Réussir mes examens,Contribuer à la société,Technologie / Technique
09/07/2025 08:00:52,18 ans et plus,Seconde,"Histoire-Géographie, Mathématiques",Sciences de la vie et de la Terre,Jeux vidéo,Seul(e),Un peu,"Oui, beaucoup",Oui,"Visuel (images, schémas)",Non,Oui,Parfois,Peut-être,Intermédiaire,Créatifs,Non,J’ai quelques idées,Bureau / travail sur ordinateur,Oui,Très importante,Parfois,Créatif / innovateur,"Organisé(e), Curieux(se)",Je reste calme et cherche des solutions,Non,Moyennement importante,Un peu,Développer mes compétences,Travailler dans un domaine qui me passionne,Lettres / Sciences Humaines
09/07/2025 08:05:52,14-15 ans,Première,Français,"Langues étrangères, Histoire-Géographie","Activités artistiques, Sorties avec des amis",En groupe,Un peu,"Oui, beaucoup",Un peu,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Oui,Oui,Débutant,Créatifs,Oui,"Oui, clairement",Laboratoire / recherche,Non,Très importante,Parfois,Leader / chef de projet,Curieux(se),Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,Un peu,Créer un projet personnel,Continuer à apprendre,Lettres / Sciences Humaines
09/07/2025 08:10:52,16-17 ans,Première,"Français, Physique-Chimie, Sciences de la vie et de la Terre",,"Lecture, Jeux vidéo, Sorties avec des amis",Seul(e),Un peu,"Oui, beaucoup",Non,"Kinesthésique (faire, manipuler)",Non,Oui,Oui,Non,Intermédiaire,Techniques,Un peu,J’ai quelques idées,Bureau / travail sur ordinateur,Non,Très importante,Parfois,Exécutant / spécialiste,"Curieux(se), Dynamique, Patient(e)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Très importante,"Oui, beaucoup",Créer un projet personnel,Avoir un poste à responsabilités,Divers
09/07/2025 08:15:52,18 ans et plus,Première,"Langues étrangères, Histoire-Géographie, Mathématiques","Sciences de la vie et de la Terre, Arts plastiques / Musique","Activités artistiques, Jeux vidéo, Sports",En groupe,Pas du tout,Un peu,Un peu,"Visuel (images, schémas)","Oui, beaucoup",Oui,Oui,Oui,Intermédiaire,Les deux,Un peu,J’ai quelques idées,Travail manuel,Oui,Très importante,Non,Créatif / innovateur,Curieux(se),Je reste calme et cherche des solutions,"Oui, plusieurs fois",Moyennement importante,"Oui, beaucoup",Trouver un stage,Avoir un poste à responsabilités,Divers
09/07/2025 08:20:52,18 ans et plus,Première,Sciences de la vie et de la Terre,"Français, Arts plastiques / Musique","Bénévolat / Engagement associatif, Sorties avec des amis, Jeux vidéo",Seul(e),"Oui, beaucoup","Oui, beaucoup",Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Peut-être,Intermédiaire,Techniques,Non,Pas encore,Travail en extérieur,Peut-être,Moyennement importante,Non,Leader / chef de projet,"Rigoureux(se), Organisé(e), Curieux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,Pas du tout,Réussir mes examens,Avoir un poste à responsabilités,Technologie / Technique
09/07/2025 08:25:52,Moins de 14 ans,Première,"Mathématiques, Physique-Chimie",,"Bénévolat / Engagement associatif, Sorties avec des amis, Lecture",En groupe,Pas du tout,Un peu,Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Moyennement,Parfois,Non,Débutant,Techniques,Oui,J’ai quelques idées,Je ne sais pas,Peut-être,Très importante,Oui,Leader / chef de projet,"Patient(e), Curieux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Peu importante,"Oui, beaucoup",Trouver un stage,Contribuer à la société,Santé / Social
09/07/2025 08:30:52,14-15 ans,Première,"Sciences de la vie et de la Terre, Physique-Chimie, Langues étrangères",,Sorties avec des amis,Ça dépend des situations,"Oui, beaucoup","Oui, beaucoup",Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Non,Oui,Intermédiaire,Techniques,Oui,"Oui, clairement",Travail en extérieur,Non,Moyennement importante,Oui,Exécutant / spécialiste,"Créatif(ve), Dynamique",Je préfère éviter ces situations,Non,Très importante,"Oui, beaucoup",Réussir mes examens,Contribuer à la société,Technologie / Technique
09/07/2025 08:35:52,14-15 ans,Première,"Langues étrangères, Histoire-Géographie, Mathématiques","Sciences de la vie et de la Terre, Français","Sports, Bénévolat / Engagement associatif",Ça dépend des situations,"Oui, beaucoup",Un peu,Non,"Visuel (images, schémas)",Parfois,Oui,Non,Non,Courant / bilingue,Créatifs,Oui,J’ai quelques idées,Je ne sais pas,Non,Moyennement importante,Oui,Créatif / innovateur,"Organisé(e), Dynamique, Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Moyennement importante,Un peu,Réussir mes examens,Contribuer à la société,Communication / Marketing
09/07/2025 08:40:52,18 ans et plus,Post-bac / Université,"Sciences de la vie et de la Terre, Langues étrangères, Physique-Chimie","Français, Histoire-Géographie","Sorties avec des amis, Lecture, Bénévolat / Engagement associatif",Seul(e),"Oui, beaucoup",Un peu,Non,Je ne sais pas,Parfois,Oui,Non,Non,Avancé,Les deux,Non,J’ai quelques idées,Travail manuel,Non,Très importante,Parfois,Exécutant / spécialiste,"Curieux(se), Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, une fois ou deux",Moyennement importante,Un peu,Obtenir mon diplôme,Être entrepreneur,Technologie / Technique
09/07/2025 08:45:52,16-17 ans,Première,"Français, Langues étrangères, Sciences de la vie et de la Terre",,"Lecture, Activités artistiques",Ça dépend des situations,"Oui, beaucoup","Oui, beaucoup",Oui,Je ne sais pas,"Oui, beaucoup",Moyennement,Oui,Non,Intermédiaire,Techniques,Oui,J’ai quelques idées,Travail manuel,Oui,Moyennement importante,Parfois,Organisateur / planificateur,"Patient(e), Rigoureux(se), Créatif(ve)",Je préfère éviter ces situations,Non,Très importante,Pas du tout,Obtenir mon diplôme,Avoir un poste à responsabilités,Informatique / Ingénierie
09/07/2025 08:50:52,18 ans et plus,Post-bac / Université,Sciences de la vie et de la Terre,Arts plastiques / Musique,"Bénévolat / Engagement associatif, Jeux vidéo",Seul(e),"Oui, beaucoup",Pas du tout,Un peu,Je ne sais pas,Non,Oui,Parfois,Peut-être,Intermédiaire,Techniques,Un peu,Pas encore,Travail en extérieur,Non,Moyennement importante,Non,Créatif / innovateur,"Organisé(e), Créatif(ve)",Je préfère éviter ces situations,"Oui, plusieurs fois",Très importante,Pas du tout,Créer un projet personnel,Avoir un poste à responsabilités,Technologie / Technique
09/07/2025 08:55:52,14-15 ans,Terminale,"Langues étrangères, Arts plastiques / Musique, Français",,"Sports, Lecture",Ça dépend des situations,Pas du tout,Un peu,Oui,"Kinesthésique (faire, manipuler)",Parfois,Oui,Oui,Oui,Intermédiaire,Techniques,Non,J’ai quelques idées,Travail manuel,Oui,Très importante,Parfois,Je ne sais pas,"Rigoureux(se), Curieux(se)",Je préfère éviter ces situations,"Oui, une fois ou deux",Très importante,Un peu,Développer mes compétences,Être entrepreneur,Arts / Création
09/07/2025 09:00:52,Moins de 14 ans,Première,Français,"Sciences de la vie et de la Terre, Histoire-Géographie",Activités artistiques,En groupe,Un peu,"Oui, beaucoup",Non,"Visuel (images, schémas)",Parfois,Moyennement,Oui,Non,Intermédiaire,Techniques,Non,"Oui, clairement",Travail manuel,Non,Très importante,Oui,Créatif / innovateur,"Créatif(ve), Curieux(se), Dynamique",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,Pas du tout,Obtenir mon diplôme,Continuer à apprendre,Santé / Social
09/07/2025 09:05:52,18 ans et plus,Terminale,"Mathématiques, Physique-Chimie","Arts plastiques / Musique, Français","Activités artistiques, Jeux vidéo, Bénévolat / Engagement associatif",En groupe,Un peu,Pas du tout,Non,Je ne sais pas,"Oui, beaucoup",Oui,Oui,Oui,Intermédiaire,Les deux,Un peu,J’ai quelques idées,Travail en extérieur,Non,Très importante,Non,Leader / chef de projet,Patient(e),Je me sens parfois dépassé(e),Non,Moyennement importante,Pas du tout,Trouver un stage,Contribuer à la société,Divers
09/07/2025 09:10:52,14-15 ans,Terminale,"Langues étrangères, Physique-Chimie, Arts plastiques / Musique",Français,"Jeux vidéo, Bénévolat / Engagement associatif",Seul(e),"Oui, beaucoup","Oui, beaucoup",Oui,Je ne sais pas,"Oui, beaucoup",Oui,Parfois,Non,Avancé,Créatifs,Non,Pas encore,Travail manuel,Peut-être,Très importante,Oui,Organisateur / planificateur,Créatif(ve),Je reste calme et cherche des solutions,"Oui, plusieurs fois",Peu importante,Pas du tout,Trouver un stage,Continuer à apprendre,Lettres / Sciences Humaines
09/07/2025 09:15:52,16-17 ans,Première,"Sciences de la vie et de la Terre, Physique-Chimie",Mathématiques,"Lecture, Jeux vidéo, Sorties avec des amis",Seul(e),"Oui, beaucoup",Pas du tout,Oui,"Visuel (images, schémas)",Parfois,Oui,Oui,Non,Avancé,Les deux,Un peu,Pas encore,Je ne sais pas,Non,Moyennement importante,Parfois,Exécutant / spécialiste,"Rigoureux(se), Patient(e)",Je me sens parfois dépassé(e),Non,Moyennement importante,Pas du tout,Réussir mes examens,Travailler dans un domaine qui me passionne,Technologie / Technique
09/07/2025 09:20:52,18 ans et plus,Seconde,Langues étrangères,"Français, Arts plastiques / Musique","Activités artistiques, Jeux vidéo, Bénévolat / Engagement associatif",En groupe,Un peu,Pas du tout,Oui,"Kinesthésique (faire, manipuler)",Parfois,Oui,Oui,Non,Intermédiaire,Techniques,Un peu,"Oui, clairement",Travail manuel,Non,Moyennement importante,Oui,Je ne sais pas,Créatif(ve),Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,Un peu,Réussir mes examens,Être entrepreneur,Arts / Création
09/07/2025 09:25:52,Moins de 14 ans,Première,"Histoire-Géographie, Langues étrangères, Français",,"Jeux vidéo, Activités artistiques",En groupe,Pas du tout,"Oui, beaucoup",Non,"Kinesthésique (faire, manipuler)",Parfois,Non,Non,Oui,Intermédiaire,Je ne sais pas,Non,J’ai quelques idées,Travail en extérieur,Oui,Peu importante,Oui,Exécutant / spécialiste,"Rigoureux(se), Créatif(ve)",Je me sens parfois dépassé(e),"Oui, une fois ou deux",Très importante,Un peu,Créer un projet personnel,Être entrepreneur,Divers
09/07/2025 09:30:52,18 ans et plus,Post-bac / Université,"Sciences de la vie et de la Terre, Histoire-Géographie",Français,"Activités artistiques, Sorties avec des amis, Sports",Seul(e),Un peu,Un peu,Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Non,Courant / bilingue,Créatifs,Oui,J’ai quelques idées,Travail manuel,Peut-être,Moyennement importante,Non,Organisateur / planificateur,Patient(e),Je préfère éviter ces situations,Non,Très importante,Pas du tout,Réussir mes examens,Contribuer à la société,Divers
09/07/2025 09:35:52,14-15 ans,Première,Physique-Chimie,,"Sports, Activités artistiques",Seul(e),"Oui, beaucoup","Oui, beaucoup",Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Peut-être,Intermédiaire,Créatifs,Oui,J’ai quelques idées,Bureau / travail sur ordinateur,Oui,Très importante,Oui,Je ne sais pas,"Dynamique, Créatif(ve)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Moyennement importante,"Oui, beaucoup",Trouver un stage,Travailler dans un domaine qui me passionne,Lettres / Sciences Humaines
